"Analysis","Statistic","P_value","Effect_Size","Effect_Type"
"Age - Depression",0.017898314917662,0.622030348887593,0.017898314917662,"Pearson r"
"Age - Anxiety",0.0181987955982927,0.616193508639309,0.0181987955982927,"Pearson r"
"Age - Stress",0.0309476206986935,0.393920567806106,0.0309476206986935,"Pearson r"
"Gender - Depression",0.389064014611943,0.697866058149749,0.0436254661511694,"Cohen's d"
"Gender - Anxiety",0.701258899878205,0.484410174105081,0.0798110369843794,"Cohen's d"
"Gender - Stress",1.5507903839572,0.12329623640696,0.165870347004698,"Cohen's d"
"Year - Depression",7.10988824492808,0.000102842323953123,0.0273692452629055,"Eta squared"
"Year - Anxiety",4.99734463449445,0.00194441720410757,0.0193948103549994,"Eta squared"
"Year - Stress",1.57112591251499,0.194974556213386,0.00617974966104091,"Eta squared"
